,Text-based search,Browsing + Categorisation,Context-specific suggestions,Components,Composites,Process composition,Data composition,Automatic UI generation,Webpage composition,Widget composition,Visual UI composition,Textual UI composition,Testing,Debugging,Code generation,Interpretation,Compilation,Spreadsheet,Dialog/form,WYSIWYG,PbD,Drag & drop,Sharing components,Textual DSL,Full language,Forum,Wiki,Public,Private,PbEM,Blackboard,Icon,Textual,Flow diagram component,Explicit control flow,Implicit control flow,Wires,Non-wire graphics,Visual DSL,Flow diagram,Form,Page flow,High,Average,Low,Layman,Domain expert,Technical expert,Advanced user,Consumer/Individual,Enterprise/Organisation,Plain list,Rate component,Composite num downloads,Generic,Context-specific,Domain-specific,Specialised,Mobile,Desktop,Web,Incompatibility prompts,Suggestions,Help,User goal/requirement mapping,VCS,Screencasts,API/component documentation,Tutorials,Discussion forums,Composite ratings,Examples,Level 1,Level 2,Level 3,Level 4,SOAP,REST,RSS,ATOM,Widget,Scraping/DOM,JSON,XML,WSDL,WADL,Triggers,Actions,Filters,Branches,Loops,Tool-level,Composition level,Full automation,Semi-automation,No automation,Service layer,Application layer,Presentation layer,Review composite,Sharing composites,Data flow present,Application,Plug-in,Platform,Webpage/webapp,Component repository,Composite repository,Ad hoc,Fixed,Centralised,Decentralised,Spreadsheet representation,WYSIWYG representation,Textual DSL representation,Full language representation,Explicit data flow,Implicit data flow,Visual DSL representation,Export,Mobile context,Desktop context,Web context,JSON message format,XML message format,Composite description,Composite name,Composite num uses,Composite age,Composite num SNS shares,Upload/Publish composite,Copy composite,Export composite,Rename composite,Save composite,Rate composite,Delete composite,Turn on/off composite,Acquire composite,Set/Edit composite parameters,Share composite on SNS,Edit composite,Execute composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Single composite I&Os,Multiple atomic I&Os,Component names,Assign tags to composite,Component type,Browse + filter/search,Browse list,Text entry,Other recommendations,Composite reviews,No specification,In-app execution,Blog,External help/FAQ,No link,Text editor,No abstraction,Create new app,Dummy test data,Control flow present,Composite Tags,Composite categories,Component requirements/prerequisites,Component input(s),Component output(s)/result(s),Component options,Component example usage,Component icons,Component descriptions,Composite properties,Composite creator,Component version,Composite copyright,Component related actions,Composite notes,Composite location,Component categories,Composite icon,Component num uses,Component age,Component num SNS shares,Component num downloads,Component reviews,Component ratings,Component copyright,Component creator,Component icon,Component notes,Component location,Component tags,Component description,Component name,Component num users,Component num ratings,Form element,SNS support,Composite num ratings,Composite version,View example usage,Import component,Composite num users,Review component,Selecting & customising UI,Extension APIs,UI composition,Low learning curve,Medium learning curve,High learning curve,Framework
Implicit control flow,0.00357142857143,0.0107142857143,0,0.0107142857143,0.00357142857143,0.0107142857143,0.0142857142857,0,0,0.00357142857143,0.00357142857143,0,0.0107142857143,0.0107142857143,0,0.0107142857143,0,0,0.025,0.00714285714286,0,0.00714285714286,0,0.00714285714286,0,0.00357142857143,0,0.00714285714286,0.0107142857143,0.0142857142857,0,0,0.00357142857143,0.0107142857143,0,0.0285714285714,0.0214285714286,0,0.025,0.00714285714286,0.0214285714286,0,0,0.00357142857143,0.00714285714286,0,0.0142857142857,0.0142857142857,0.0107142857143,0.0142857142857,0.00357142857143,0.00357142857143,0,0.00357142857143,0,0.00357142857143,0.00714285714286,0.0142857142857,0,0.00357142857143,0.0142857142857,0.00714285714286,0,0.00714285714286,0,0.00357142857143,0.00357142857143,0.00714285714286,0.00714285714286,0.00714285714286,0.00714285714286,0.0107142857143,0,0.00357142857143,0.0178571428571,0.0107142857143,0,0.00714285714286,0.0107142857143,0.0107142857143,0,0,0,0,0,0,0,0.0107142857143,0.00357142857143,0.00714285714286,0.00357142857143,0,0.00357142857143,0,0.025,0.00357142857143,0.00357142857143,0,0,0,0.00714285714286,0.025,0.00357142857143,0,0,0.00714285714286,0.00714285714286,0.00357142857143,0.00357142857143,0.00714285714286,0.00714285714286,0.00357142857143,0,0,0,0,0.0107142857143,0.00357142857143,0,0.00357142857143,0,0.00357142857143,0.00714285714286,0,0.00357142857143,0.00357142857143,0.00714285714286,0,0,0,0.00357142857143,0.00357142857143,0.00357142857143,0,0.00357142857143,0.00357142857143,0.00357142857143,0,0.00357142857143,0.00357142857143,0,0.00357142857143,0.00357142857143,0.00714285714286,0.0107142857143,0.0107142857143,0.00357142857143,0.00357142857143,0.00357142857143,0,0.00357142857143,0,0.00357142857143,0.0107142857143,0.00357142857143,0,0,0.00714285714286,0.0107142857143,0.00357142857143,0.00357142857143,0.00714285714286,0,0,0,0,0.0392857142857,0.00714285714286,0,0,0.00714285714286,0.00714285714286,0.0107142857143,0.00357142857143,0,0.00357142857143,0,0.00357142857143,0,0,0,0,0,0.00714285714286,0.00714285714286,0,0.00357142857143,0,0,0,0,0.00357142857143,0.00357142857143,0.00357142857143,0,0.00357142857143,0,0.00714285714286,0.0107142857143,0,0,0.0107142857143,0.00357142857143,0,0,0,0.00357142857143,0,0,0,0.00357142857143,0,0.00357142857143,0.00357142857143,0,0
Wires,0.00496277915633,0.00992555831266,0.00248138957816,0.00992555831266,0.00248138957816,0.0124069478908,0.014888337469,0,0,0.00496277915633,0.00248138957816,0,0.00744416873449,0.00992555831266,0,0.00744416873449,0,0,0.014888337469,0.00744416873449,0,0.00992555831266,0,0.00744416873449,0,0.00496277915633,0,0.00496277915633,0.00496277915633,0.00992555831266,0,0,0.00496277915633,0.0198511166253,0.00992555831266,0.014888337469,0.0347394540943,0,0.0248138957816,0.00992555831266,0.0124069478908,0,0,0.00248138957816,0.00496277915633,0,0.00744416873449,0.0124069478908,0.00992555831266,0.0198511166253,0.00744416873449,0,0,0.00248138957816,0.00248138957816,0,0.00496277915633,0.0173697270471,0,0.00744416873449,0.00496277915633,0.0173697270471,0,0.00744416873449,0.00496277915633,0,0.00744416873449,0.00744416873449,0.0124069478908,0.00744416873449,0.00496277915633,0.00992555831266,0.00248138957816,0.00248138957816,0.014888337469,0.00744416873449,0.00992555831266,0.0124069478908,0.014888337469,0.0124069478908,0.00992555831266,0,0,0,0,0,0,0.00744416873449,0.00248138957816,0.00992555831266,0.00744416873449,0,0.00248138957816,0,0.0248138957816,0.00248138957816,0,0,0.00248138957816,0,0.00248138957816,0.0173697270471,0.00496277915633,0.00248138957816,0,0.00248138957816,0.00992555831266,0.00248138957816,0.00744416873449,0.00248138957816,0.00248138957816,0.00744416873449,0,0.00248138957816,0,0,0.00992555831266,0,0,0.00248138957816,0,0.00496277915633,0.00248138957816,0,0,0.00248138957816,0.00744416873449,0,0,0,0.00248138957816,0.00248138957816,0,0.00248138957816,0.00496277915633,0.00248138957816,0.00496277915633,0,0.00248138957816,0.00248138957816,0,0.00496277915633,0.00496277915633,0.00496277915633,0.00744416873449,0.00992555831266,0.00744416873449,0.00496277915633,0.00496277915633,0,0.00248138957816,0,0.00496277915633,0.00992555831266,0.00248138957816,0.00248138957816,0,0.00496277915633,0.00744416873449,0.00744416873449,0.00744416873449,0,0,0.00248138957816,0,0,0.029776674938,0.00496277915633,0,0,0.00744416873449,0.00744416873449,0.00744416873449,0.00248138957816,0,0.00248138957816,0,0.00496277915633,0,0,0,0,0,0.00496277915633,0.00744416873449,0,0.00248138957816,0,0,0,0,0.00248138957816,0.00496277915633,0.00744416873449,0.00248138957816,0.00248138957816,0,0.00496277915633,0.00992555831266,0,0,0.00496277915633,0.00248138957816,0,0.00248138957816,0,0,0,0,0.00248138957816,0.00248138957816,0.00248138957816,0.00248138957816,0.0124069478908,0.00744416873449,0.00744416873449
Non-wire graphics,0,0.0128755364807,0.00429184549356,0.0171673819742,0.00858369098712,0.0128755364807,0.0128755364807,0,0,0,0,0,0.00858369098712,0.00429184549356,0,0.0128755364807,0,0,0.00858369098712,0,0,0.00429184549356,0,0,0,0,0,0.00858369098712,0,0.0128755364807,0,0.0257510729614,0.0171673819742,0,0.0128755364807,0,0,0.0128755364807,0,0,0.00858369098712,0,0,0.00858369098712,0.00429184549356,0.00429184549356,0.0128755364807,0.0128755364807,0.0128755364807,0.0128755364807,0.00429184549356,0.00429184549356,0,0,0,0.00858369098712,0.00858369098712,0.00429184549356,0,0.00429184549356,0.0171673819742,0,0.00858369098712,0.0128755364807,0,0,0.00429184549356,0.00429184549356,0.00429184549356,0,0,0.0128755364807,0,0.00429184549356,0.00858369098712,0,0,0.00429184549356,0,0,0,0,0.00429184549356,0,0,0,0.00858369098712,0.0171673819742,0,0,0,0.0128755364807,0,0,0.00858369098712,0.00429184549356,0,0,0,0,0.00858369098712,0.0257510729614,0.00429184549356,0,0,0.00858369098712,0.0128755364807,0.00858369098712,0.00429184549356,0.00858369098712,0.00858369098712,0.00429184549356,0,0,0.00429184549356,0,0,0.0128755364807,0,0,0,0.00429184549356,0.00858369098712,0.00429184549356,0,0.00858369098712,0.00858369098712,0.00429184549356,0.00429184549356,0,0.00429184549356,0.00429184549356,0,0.0128755364807,0.0128755364807,0,0.00858369098712,0.00858369098712,0.00429184549356,0.00858369098712,0.00858369098712,0.0128755364807,0.00858369098712,0.00858369098712,0.0128755364807,0.0128755364807,0.0128755364807,0.00429184549356,0.00858369098712,0,0,0.00858369098712,0.00429184549356,0.0128755364807,0,0.00429184549356,0,0.0128755364807,0.0128755364807,0.00858369098712,0,0,0,0,0,0.00429184549356,0.0257510729614,0,0,0.00429184549356,0.0128755364807,0.0128755364807,0.0128755364807,0.00429184549356,0.00858369098712,0.00429184549356,0.00429184549356,0.00429184549356,0.00429184549356,0,0.00858369098712,0,0,0.00858369098712,0,0,0,0,0,0,0,0.00429184549356,0.00429184549356,0.0128755364807,0,0,0,0.00429184549356,0.0128755364807,0,0,0.00858369098712,0.00858369098712,0,0,0.00429184549356,0,0,0,0,0,0,0,0,0,0
Visual DSL,0.00914634146341,0.015243902439,0.0030487804878,0.00914634146341,0,0.00914634146341,0.0121951219512,0.0030487804878,0,0.00914634146341,0.00914634146341,0,0.00609756097561,0.0121951219512,0,0.00609756097561,0,0,0.030487804878,0.00914634146341,0,0.00914634146341,0,0.015243902439,0,0.0030487804878,0,0.0030487804878,0.00914634146341,0.0121951219512,0,0.00609756097561,0.0030487804878,0.0213414634146,0.0121951219512,0.0182926829268,0.030487804878,0,0.0457317073171,0.00914634146341,0.0213414634146,0,0,0,0.00609756097561,0,0.00914634146341,0.0121951219512,0.00914634146341,0.0121951219512,0.0030487804878,0,0,0,0.0030487804878,0,0.0030487804878,0.0274390243902,0,0.00914634146341,0,0.00914634146341,0,0.0121951219512,0,0.00609756097561,0.00609756097561,0.0121951219512,0.0121951219512,0.0121951219512,0.00609756097561,0.015243902439,0.0030487804878,0.0030487804878,0.0213414634146,0.00914634146341,0.0030487804878,0.0030487804878,0.0030487804878,0.0030487804878,0.0030487804878,0,0,0,0,0,0,0.00609756097561,0,0.00914634146341,0.00609756097561,0,0.0030487804878,0,0.0335365853659,0.0030487804878,0,0,0.0030487804878,0,0,0.0182926829268,0.00609756097561,0.0030487804878,0,0,0.00914634146341,0,0.00914634146341,0,0,0.00914634146341,0,0.0030487804878,0,0,0.0121951219512,0,0,0.0030487804878,0,0.00609756097561,0,0,0,0,0.00609756097561,0,0,0,0,0,0,0.0030487804878,0.0030487804878,0.00609756097561,0.0030487804878,0,0,0,0,0.0030487804878,0.0030487804878,0.0030487804878,0.00609756097561,0.00914634146341,0.00914634146341,0.0030487804878,0.00609756097561,0,0.00609756097561,0,0.00609756097561,0.00914634146341,0.0030487804878,0.0030487804878,0,0.0030487804878,0.00609756097561,0.00609756097561,0.00914634146341,0,0,0.0030487804878,0,0,0.0365853658537,0.00609756097561,0,0,0.00609756097561,0.00609756097561,0.00914634146341,0,0,0,0,0.0030487804878,0,0,0,0,0,0.0030487804878,0.00914634146341,0,0,0,0,0,0,0.0030487804878,0.00609756097561,0.00914634146341,0.0030487804878,0.0030487804878,0,0.0030487804878,0.00914634146341,0,0,0.0030487804878,0,0,0.0030487804878,0,0,0,0,0.0030487804878,0.00914634146341,0,0,0.0030487804878,0,0
Flow diagram,0.00371747211896,0.0111524163569,0,0.0148698884758,0.00371747211896,0.0111524163569,0.0111524163569,0,0,0.00371747211896,0.00371747211896,0,0.0111524163569,0.0111524163569,0,0.0111524163569,0,0,0.00371747211896,0.00371747211896,0,0.0148698884758,0,0.00371747211896,0,0.00743494423792,0,0.00371747211896,0,0.0111524163569,0,0,0.00743494423792,0.0297397769517,0.00743494423792,0.00743494423792,0.0148698884758,0,0.0111524163569,0.0148698884758,0.00371747211896,0,0,0.00371747211896,0.00743494423792,0,0.0111524163569,0.0111524163569,0.0148698884758,0.0185873605948,0.00743494423792,0,0,0.00371747211896,0.00371747211896,0,0.00743494423792,0.00371747211896,0,0.0111524163569,0.00743494423792,0.0111524163569,0,0.00743494423792,0,0,0.0111524163569,0.00743494423792,0.00743494423792,0.00743494423792,0.00371747211896,0.0111524163569,0.00371747211896,0,0.00743494423792,0.00371747211896,0,0.00371747211896,0.00743494423792,0.00743494423792,0,0,0,0,0,0,0,0.0111524163569,0.00371747211896,0.0148698884758,0.0111524163569,0,0.00371747211896,0,0.0111524163569,0.00371747211896,0,0,0.00371747211896,0,0.00371747211896,0.0223048327138,0.00743494423792,0.00371747211896,0,0.00371747211896,0.0148698884758,0.00371747211896,0.0111524163569,0.00371747211896,0.00371747211896,0.0111524163569,0,0.00371747211896,0,0,0.0111524163569,0,0,0.00371747211896,0,0.00743494423792,0.00371747211896,0,0,0.00371747211896,0.0111524163569,0,0,0,0.00371747211896,0.00371747211896,0,0.00371747211896,0.00743494423792,0,0.00743494423792,0,0.00371747211896,0.00371747211896,0,0.00743494423792,0.00743494423792,0.00743494423792,0.0111524163569,0.0148698884758,0.0111524163569,0.00743494423792,0.00743494423792,0,0,0,0.00743494423792,0.0148698884758,0.00371747211896,0.00371747211896,0,0.00743494423792,0.0111524163569,0.00743494423792,0.0111524163569,0,0,0.00371747211896,0,0,0.0223048327138,0.00371747211896,0,0,0.0111524163569,0.0111524163569,0.0111524163569,0.00371747211896,0,0.00371747211896,0,0.00743494423792,0,0,0,0,0,0.00743494423792,0.0111524163569,0,0.00371747211896,0,0,0,0,0.00371747211896,0.00743494423792,0.0111524163569,0.00371747211896,0.00371747211896,0,0.00743494423792,0.0148698884758,0,0,0.00743494423792,0.00371747211896,0,0.00371747211896,0,0,0,0,0,0,0,0.00371747211896,0.00371747211896,0,0
Form,0.00454545454545,0.0106060606061,0.00151515151515,0.0136363636364,0.00606060606061,0.0121212121212,0.00909090909091,0,0.00151515151515,0.00151515151515,0.0030303030303,0,0.00606060606061,0.0030303030303,0.00151515151515,0.0121212121212,0,0,0.0272727272727,0.00454545454545,0,0.0030303030303,0.0030303030303,0.00454545454545,0,0.00454545454545,0.00151515151515,0.0106060606061,0.0030303030303,0.00909090909091,0.00151515151515,0.0166666666667,0.00909090909091,0.0030303030303,0.0106060606061,0.00606060606061,0.00757575757576,0.0030303030303,0.0106060606061,0.00151515151515,0.0257575757576,0,0,0.00757575757576,0.0030303030303,0.0030303030303,0.0121212121212,0.0151515151515,0.0121212121212,0.0136363636364,0.00151515151515,0.0030303030303,0,0.0030303030303,0.00151515151515,0.00757575757576,0.0030303030303,0.0136363636364,0.00454545454545,0.00151515151515,0.0121212121212,0.0030303030303,0.00757575757576,0.00757575757576,0,0.00151515151515,0.00606060606061,0.00606060606061,0.00909090909091,0.00454545454545,0.0030303030303,0.00757575757576,0,0.00606060606061,0.0166666666667,0,0.00151515151515,0.00606060606061,0.00454545454545,0.0030303030303,0.0030303030303,0,0.00151515151515,0,0,0,0.00606060606061,0.0136363636364,0,0.0030303030303,0.00151515151515,0.00757575757576,0,0,0.019696969697,0.0030303030303,0.00151515151515,0,0.00151515151515,0,0.00757575757576,0.0136363636364,0.00454545454545,0.00151515151515,0,0.00606060606061,0.0106060606061,0.00606060606061,0.00606060606061,0.00606060606061,0.00909090909091,0.0030303030303,0,0.0030303030303,0.0030303030303,0,0.0030303030303,0.00454545454545,0,0.00151515151515,0.00454545454545,0.00151515151515,0.00606060606061,0.00151515151515,0.00151515151515,0.0030303030303,0.00757575757576,0.00151515151515,0.0030303030303,0,0.00454545454545,0.00151515151515,0.0030303030303,0.00909090909091,0.00909090909091,0.00151515151515,0.00909090909091,0.00757575757576,0.00454545454545,0.0030303030303,0.00606060606061,0.0106060606061,0.00454545454545,0.0121212121212,0.0121212121212,0.0121212121212,0.0121212121212,0.00151515151515,0.00454545454545,0.0030303030303,0.0030303030303,0.00606060606061,0.0030303030303,0.00909090909091,0.0030303030303,0.00454545454545,0,0.00909090909091,0.0106060606061,0.00606060606061,0.00606060606061,0.0121212121212,0,0.00151515151515,0.00151515151515,0.00151515151515,0.0257575757576,0.0030303030303,0,0,0.00454545454545,0.00454545454545,0.0106060606061,0.00151515151515,0.00606060606061,0.00151515151515,0.00151515151515,0.00606060606061,0,0,0.00151515151515,0,0,0.00454545454545,0.0030303030303,0,0,0,0,0,0.00151515151515,0,0.0030303030303,0.0136363636364,0.00151515151515,0.00151515151515,0,0.00454545454545,0.0136363636364,0.00151515151515,0.00151515151515,0.00909090909091,0.0030303030303,0,0.00151515151515,0.00151515151515,0.00151515151515,0,0,0,0.00151515151515,0.0030303030303,0,0.00151515151515,0.0030303030303,0.00151515151515
Page flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average,0,0.0115384615385,0.00192307692308,0.0134615384615,0.00961538461538,0.0115384615385,0.00961538461538,0,0.00192307692308,0,0.00384615384615,0,0.00576923076923,0.00192307692308,0.00192307692308,0.0115384615385,0,0,0.0134615384615,0,0.00384615384615,0.00192307692308,0.00192307692308,0.00192307692308,0,0.00576923076923,0.00192307692308,0.00961538461538,0,0.00961538461538,0,0.0192307692308,0.0115384615385,0.00192307692308,0.00961538461538,0.00192307692308,0.00192307692308,0.00384615384615,0,0.00192307692308,0.00961538461538,0,0,0.0192307692308,0,0.00384615384615,0.0134615384615,0.0192307692308,0.0153846153846,0.0173076923077,0.00769230769231,0.00192307692308,0,0.00576923076923,0.00192307692308,0.00769230769231,0.00576923076923,0.00192307692308,0.00576923076923,0,0.0115384615385,0.00769230769231,0.00576923076923,0.00961538461538,0,0,0.00769230769231,0.00769230769231,0.0115384615385,0.00384615384615,0.00576923076923,0.0192307692308,0,0.00576923076923,0.00769230769231,0,0,0.00384615384615,0.00384615384615,0.00384615384615,0,0.00576923076923,0.00192307692308,0,0,0,0.00769230769231,0.0134615384615,0.00192307692308,0.00384615384615,0.00192307692308,0.00961538461538,0,0,0.0134615384615,0,0,0,0,0,0.00961538461538,0.0115384615385,0.00576923076923,0,0,0.00576923076923,0.0115384615385,0.00961538461538,0.00576923076923,0.00576923076923,0.00961538461538,0.00192307692308,0,0,0.00384615384615,0,0.00192307692308,0.00384615384615,0,0,0.00576923076923,0,0.00576923076923,0.00192307692308,0,0.00576923076923,0.00961538461538,0.00192307692308,0.00384615384615,0,0.00769230769231,0.00384615384615,0.00192307692308,0.00961538461538,0.0115384615385,0.00192307692308,0.0115384615385,0.00961538461538,0.00769230769231,0.00576923076923,0.00769230769231,0.0134615384615,0.00576923076923,0.0115384615385,0.0115384615385,0.0115384615385,0.0115384615385,0.00192307692308,0.00384615384615,0.00384615384615,0.00192307692308,0.00769230769231,0.00192307692308,0.00769230769231,0,0.00769230769231,0,0.0115384615385,0.0115384615385,0.00961538461538,0.00576923076923,0.00769230769231,0,0,0.00192307692308,0.00192307692308,0.0211538461538,0.00384615384615,0,0,0.00576923076923,0.00576923076923,0.00961538461538,0.00384615384615,0.00769230769231,0.00384615384615,0.00192307692308,0.00769230769231,0,0,0.00192307692308,0,0,0.00769230769231,0.00192307692308,0,0.00192307692308,0,0,0,0,0,0.00192307692308,0.0153846153846,0,0,0,0.00576923076923,0.0134615384615,0,0,0.00769230769231,0.00576923076923,0,0,0.00192307692308,0,0,0,0,0.00192307692308,0.00384615384615,0.00192307692308,0.00384615384615,0.00192307692308,0
Low,0.00380228136882,0.00760456273764,0,0.0152091254753,0,0.0152091254753,0.0190114068441,0,0,0,0,0,0.0152091254753,0.0114068441065,0,0.0152091254753,0,0.00380228136882,0.0114068441065,0,0,0.0114068441065,0,0.00380228136882,0,0.00380228136882,0,0.00380228136882,0,0.00760456273764,0,0.00760456273764,0.0114068441065,0.0152091254753,0.00760456273764,0.00760456273764,0.00760456273764,0.00380228136882,0.00760456273764,0.00760456273764,0.0114068441065,0,0,0,0.0190114068441,0,0.0114068441065,0.0190114068441,0.0152091254753,0.0190114068441,0,0.00760456273764,0,0,0,0.00760456273764,0.00380228136882,0.00380228136882,0,0.0114068441065,0.00760456273764,0.0114068441065,0,0.00380228136882,0,0,0.00380228136882,0.00380228136882,0,0.00380228136882,0,0.0114068441065,0,0.00380228136882,0.0114068441065,0.00380228136882,0,0.00380228136882,0.00380228136882,0.00380228136882,0.00380228136882,0,0,0,0,0,0,0.0152091254753,0,0.00760456273764,0.00380228136882,0.00380228136882,0.00380228136882,0,0.00760456273764,0.00760456273764,0.00380228136882,0,0,0,0.00380228136882,0.0304182509506,0.00760456273764,0.00380228136882,0,0.00380228136882,0.0114068441065,0,0.0114068441065,0.00380228136882,0.00380228136882,0.0114068441065,0,0,0,0,0.00760456273764,0.00760456273764,0,0.00380228136882,0,0.0114068441065,0.00380228136882,0,0.00380228136882,0,0.0114068441065,0,0,0,0,0,0.00380228136882,0.00760456273764,0.00760456273764,0,0.00380228136882,0,0,0.00380228136882,0,0.00760456273764,0.00760456273764,0.00760456273764,0.0152091254753,0.0152091254753,0.0114068441065,0.00760456273764,0.00760456273764,0,0,0,0.0114068441065,0.0152091254753,0.00760456273764,0.00380228136882,0,0.00760456273764,0.0152091254753,0,0.00760456273764,0.00760456273764,0,0,0,0,0.0304182509506,0,0,0.00380228136882,0.0114068441065,0.0114068441065,0.0190114068441,0,0,0.00380228136882,0,0.00380228136882,0.00380228136882,0,0.00380228136882,0,0,0.00760456273764,0.0114068441065,0,0,0,0,0,0,0.00760456273764,0.00760456273764,0.0114068441065,0.00380228136882,0.00380228136882,0,0.00380228136882,0.0152091254753,0,0,0.0152091254753,0,0,0.00380228136882,0,0.00380228136882,0,0,0,0,0,0,0.00380228136882,0,0
Layman,0.00675675675676,0.0135135135135,0.00675675675676,0.0135135135135,0.00675675675676,0.00675675675676,0.00675675675676,0,0.00675675675676,0,0,0,0,0,0,0.0135135135135,0,0,0.0135135135135,0,0,0.00675675675676,0.00675675675676,0,0,0,0,0.0135135135135,0,0.00675675675676,0,0.0135135135135,0.00675675675676,0,0.00675675675676,0,0,0.00675675675676,0,0,0.0135135135135,0,0,0.0135135135135,0,0.0202702702703,0.0135135135135,0.0202702702703,0.0202702702703,0.0135135135135,0.00675675675676,0,0,0,0.00675675675676,0,0.00675675675676,0,0,0,0.027027027027,0,0.0202702702703,0.0135135135135,0,0,0,0.00675675675676,0.0135135135135,0,0,0.0135135135135,0,0.00675675675676,0,0,0,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0,0,0,0,0,0.00675675675676,0.0202702702703,0,0,0,0.00675675675676,0,0,0.00675675675676,0.00675675675676,0,0,0.00675675675676,0,0.00675675675676,0.0135135135135,0,0,0,0.0135135135135,0.0135135135135,0.00675675675676,0,0.0135135135135,0.0135135135135,0,0,0.0135135135135,0.00675675675676,0,0,0.00675675675676,0,0,0,0,0.0135135135135,0,0,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0,0.00675675675676,0,0,0.00675675675676,0.00675675675676,0,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0,0.0135135135135,0.0135135135135,0.0135135135135,0.0135135135135,0,0.00675675675676,0,0,0.00675675675676,0,0.00675675675676,0,0.0202702702703,0,0.0135135135135,0.00675675675676,0.00675675675676,0,0.0135135135135,0,0.00675675675676,0,0,0.0135135135135,0,0,0,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0,0.00675675675676,0.00675675675676,0,0,0.00675675675676,0,0,0.00675675675676,0,0,0,0,0,0,0.00675675675676,0,0,0.0135135135135,0,0.00675675675676,0,0.0135135135135,0.0135135135135,0.00675675675676,0.00675675675676,0.00675675675676,0.00675675675676,0,0,0.00675675675676,0,0,0,0,0,0,0,0,0.00675675675676,0
